--- Episode Start: 120 steps ---
Step 039 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 040 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 041 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 042 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 043 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 044 | Proposals: [AgentB:memory_balloon, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 045 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 046 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 047 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 048 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 049 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 050 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 051 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 052 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
Step 053 | Proposals: [AgentB:dvfs, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+1.0]
